job,model,dataset,src_layer,tgt_layer,sdc_group,rows,finite_rows,non_finite_rows,non_finite_rate
qwen25_vl_earthvqa,Qwen2.5-VL-7B,EarthVQA,0,1,non_sdc,5540,5540,0,0.0
qwen25_vl_earthvqa,Qwen2.5-VL-7B,EarthVQA,0,1,non_significant_sdc,1723,1723,0,0.0
qwen25_vl_earthvqa,Qwen2.5-VL-7B,EarthVQA,0,1,significant_sdc,224,184,40,0.1785714285714286
qwen25_vl_earthvqa,Qwen2.5-VL-7B,EarthVQA,1,2,non_sdc,5540,5540,0,0.0
qwen25_vl_earthvqa,Qwen2.5-VL-7B,EarthVQA,1,2,non_significant_sdc,1723,1723,0,0.0
qwen25_vl_earthvqa,Qwen2.5-VL-7B,EarthVQA,1,2,significant_sdc,224,181,43,0.1919642857142857
qwen25_vl_earthvqa,Qwen2.5-VL-7B,EarthVQA,2,3,non_sdc,5540,5540,0,0.0
qwen25_vl_earthvqa,Qwen2.5-VL-7B,EarthVQA,2,3,non_significant_sdc,1723,1723,0,0.0
qwen25_vl_earthvqa,Qwen2.5-VL-7B,EarthVQA,2,3,significant_sdc,224,183,41,0.1830357142857143
qwen25_vl_earthvqa,Qwen2.5-VL-7B,EarthVQA,3,4,non_sdc,5540,5540,0,0.0
qwen25_vl_earthvqa,Qwen2.5-VL-7B,EarthVQA,3,4,non_significant_sdc,1723,1723,0,0.0
qwen25_vl_earthvqa,Qwen2.5-VL-7B,EarthVQA,3,4,significant_sdc,224,179,45,0.2008928571428571
qwen25_vl_earthvqa,Qwen2.5-VL-7B,EarthVQA,4,5,non_sdc,5540,5540,0,0.0
qwen25_vl_earthvqa,Qwen2.5-VL-7B,EarthVQA,4,5,non_significant_sdc,1723,1723,0,0.0
qwen25_vl_earthvqa,Qwen2.5-VL-7B,EarthVQA,4,5,significant_sdc,224,175,49,0.21875
qwen25_vl_earthvqa,Qwen2.5-VL-7B,EarthVQA,5,6,non_sdc,5540,5540,0,0.0
qwen25_vl_earthvqa,Qwen2.5-VL-7B,EarthVQA,5,6,non_significant_sdc,1723,1723,0,0.0
qwen25_vl_earthvqa,Qwen2.5-VL-7B,EarthVQA,5,6,significant_sdc,224,179,45,0.2008928571428571
qwen25_vl_earthvqa,Qwen2.5-VL-7B,EarthVQA,6,7,non_sdc,5540,5540,0,0.0
qwen25_vl_earthvqa,Qwen2.5-VL-7B,EarthVQA,6,7,non_significant_sdc,1723,1723,0,0.0
qwen25_vl_earthvqa,Qwen2.5-VL-7B,EarthVQA,6,7,significant_sdc,224,178,46,0.2053571428571429
qwen25_vl_earthvqa,Qwen2.5-VL-7B,EarthVQA,7,8,non_sdc,5540,5540,0,0.0
qwen25_vl_earthvqa,Qwen2.5-VL-7B,EarthVQA,7,8,non_significant_sdc,1723,1723,0,0.0
qwen25_vl_earthvqa,Qwen2.5-VL-7B,EarthVQA,7,8,significant_sdc,224,176,48,0.2142857142857143
qwen25_vl_earthvqa,Qwen2.5-VL-7B,EarthVQA,8,9,non_sdc,5540,5540,0,0.0
qwen25_vl_earthvqa,Qwen2.5-VL-7B,EarthVQA,8,9,non_significant_sdc,1723,1723,0,0.0
qwen25_vl_earthvqa,Qwen2.5-VL-7B,EarthVQA,8,9,significant_sdc,224,169,55,0.2455357142857143
qwen25_vl_earthvqa,Qwen2.5-VL-7B,EarthVQA,9,10,non_sdc,5540,5540,0,0.0
qwen25_vl_earthvqa,Qwen2.5-VL-7B,EarthVQA,9,10,non_significant_sdc,1723,1723,0,0.0
qwen25_vl_earthvqa,Qwen2.5-VL-7B,EarthVQA,9,10,significant_sdc,224,167,57,0.2544642857142857
qwen25_vl_earthvqa,Qwen2.5-VL-7B,EarthVQA,10,11,non_sdc,5540,5540,0,0.0
qwen25_vl_earthvqa,Qwen2.5-VL-7B,EarthVQA,10,11,non_significant_sdc,1723,1723,0,0.0
qwen25_vl_earthvqa,Qwen2.5-VL-7B,EarthVQA,10,11,significant_sdc,224,166,58,0.2589285714285714
qwen25_vl_earthvqa,Qwen2.5-VL-7B,EarthVQA,11,12,non_sdc,5540,5540,0,0.0
qwen25_vl_earthvqa,Qwen2.5-VL-7B,EarthVQA,11,12,non_significant_sdc,1723,1723,0,0.0
qwen25_vl_earthvqa,Qwen2.5-VL-7B,EarthVQA,11,12,significant_sdc,224,166,58,0.2589285714285714
qwen25_vl_earthvqa,Qwen2.5-VL-7B,EarthVQA,12,13,non_sdc,5540,5540,0,0.0
qwen25_vl_earthvqa,Qwen2.5-VL-7B,EarthVQA,12,13,non_significant_sdc,1723,1723,0,0.0
qwen25_vl_earthvqa,Qwen2.5-VL-7B,EarthVQA,12,13,significant_sdc,224,160,64,0.2857142857142857
qwen25_vl_earthvqa,Qwen2.5-VL-7B,EarthVQA,13,14,non_sdc,5540,5540,0,0.0
qwen25_vl_earthvqa,Qwen2.5-VL-7B,EarthVQA,13,14,non_significant_sdc,1723,1723,0,0.0
qwen25_vl_earthvqa,Qwen2.5-VL-7B,EarthVQA,13,14,significant_sdc,224,161,63,0.28125
qwen25_vl_earthvqa,Qwen2.5-VL-7B,EarthVQA,14,15,non_sdc,5540,5540,0,0.0
qwen25_vl_earthvqa,Qwen2.5-VL-7B,EarthVQA,14,15,non_significant_sdc,1723,1723,0,0.0
qwen25_vl_earthvqa,Qwen2.5-VL-7B,EarthVQA,14,15,significant_sdc,224,160,64,0.2857142857142857
qwen25_vl_earthvqa,Qwen2.5-VL-7B,EarthVQA,15,16,non_sdc,5540,5540,0,0.0
qwen25_vl_earthvqa,Qwen2.5-VL-7B,EarthVQA,15,16,non_significant_sdc,1723,1723,0,0.0
qwen25_vl_earthvqa,Qwen2.5-VL-7B,EarthVQA,15,16,significant_sdc,224,160,64,0.2857142857142857
qwen25_vl_earthvqa,Qwen2.5-VL-7B,EarthVQA,16,17,non_sdc,5540,5540,0,0.0
qwen25_vl_earthvqa,Qwen2.5-VL-7B,EarthVQA,16,17,non_significant_sdc,1723,1723,0,0.0
qwen25_vl_earthvqa,Qwen2.5-VL-7B,EarthVQA,16,17,significant_sdc,224,154,70,0.3125
qwen25_vl_earthvqa,Qwen2.5-VL-7B,EarthVQA,17,18,non_sdc,5540,5540,0,0.0
qwen25_vl_earthvqa,Qwen2.5-VL-7B,EarthVQA,17,18,non_significant_sdc,1723,1723,0,0.0
qwen25_vl_earthvqa,Qwen2.5-VL-7B,EarthVQA,17,18,significant_sdc,224,150,74,0.3303571428571429
qwen25_vl_earthvqa,Qwen2.5-VL-7B,EarthVQA,18,19,non_sdc,5540,5540,0,0.0
qwen25_vl_earthvqa,Qwen2.5-VL-7B,EarthVQA,18,19,non_significant_sdc,1723,1723,0,0.0
qwen25_vl_earthvqa,Qwen2.5-VL-7B,EarthVQA,18,19,significant_sdc,224,151,73,0.3258928571428571
qwen25_vl_earthvqa,Qwen2.5-VL-7B,EarthVQA,19,20,non_sdc,5540,5540,0,0.0
qwen25_vl_earthvqa,Qwen2.5-VL-7B,EarthVQA,19,20,non_significant_sdc,1723,1723,0,0.0
qwen25_vl_earthvqa,Qwen2.5-VL-7B,EarthVQA,19,20,significant_sdc,224,143,81,0.3616071428571429
qwen25_vl_earthvqa,Qwen2.5-VL-7B,EarthVQA,20,21,non_sdc,5540,5540,0,0.0
qwen25_vl_earthvqa,Qwen2.5-VL-7B,EarthVQA,20,21,non_significant_sdc,1723,1723,0,0.0
qwen25_vl_earthvqa,Qwen2.5-VL-7B,EarthVQA,20,21,significant_sdc,224,139,85,0.3794642857142857
qwen25_vl_earthvqa,Qwen2.5-VL-7B,EarthVQA,21,22,non_sdc,5540,5540,0,0.0
qwen25_vl_earthvqa,Qwen2.5-VL-7B,EarthVQA,21,22,non_significant_sdc,1723,1723,0,0.0
qwen25_vl_earthvqa,Qwen2.5-VL-7B,EarthVQA,21,22,significant_sdc,224,137,87,0.3883928571428571
qwen25_vl_earthvqa,Qwen2.5-VL-7B,EarthVQA,22,23,non_sdc,5540,5540,0,0.0
qwen25_vl_earthvqa,Qwen2.5-VL-7B,EarthVQA,22,23,non_significant_sdc,1723,1723,0,0.0
qwen25_vl_earthvqa,Qwen2.5-VL-7B,EarthVQA,22,23,significant_sdc,224,133,91,0.40625
qwen25_vl_earthvqa,Qwen2.5-VL-7B,EarthVQA,23,24,non_sdc,5540,5540,0,0.0
qwen25_vl_earthvqa,Qwen2.5-VL-7B,EarthVQA,23,24,non_significant_sdc,1723,1723,0,0.0
qwen25_vl_earthvqa,Qwen2.5-VL-7B,EarthVQA,23,24,significant_sdc,224,131,93,0.4151785714285714
qwen25_vl_earthvqa,Qwen2.5-VL-7B,EarthVQA,24,25,non_sdc,5540,5540,0,0.0
qwen25_vl_earthvqa,Qwen2.5-VL-7B,EarthVQA,24,25,non_significant_sdc,1723,1723,0,0.0
qwen25_vl_earthvqa,Qwen2.5-VL-7B,EarthVQA,24,25,significant_sdc,224,128,96,0.4285714285714286
qwen25_vl_earthvqa,Qwen2.5-VL-7B,EarthVQA,25,26,non_sdc,5540,5540,0,0.0
qwen25_vl_earthvqa,Qwen2.5-VL-7B,EarthVQA,25,26,non_significant_sdc,1723,1723,0,0.0
qwen25_vl_earthvqa,Qwen2.5-VL-7B,EarthVQA,25,26,significant_sdc,224,127,97,0.4330357142857143
qwen25_vl_earthvqa,Qwen2.5-VL-7B,EarthVQA,26,27,non_sdc,5540,5540,0,0.0
qwen25_vl_earthvqa,Qwen2.5-VL-7B,EarthVQA,26,27,non_significant_sdc,1723,1723,0,0.0
qwen25_vl_earthvqa,Qwen2.5-VL-7B,EarthVQA,26,27,significant_sdc,224,123,101,0.4508928571428571
qwen25_vl_lingoqa,Qwen2.5-VL-7B,LingoQA,0,1,non_sdc,5906,5906,0,0.0
qwen25_vl_lingoqa,Qwen2.5-VL-7B,LingoQA,0,1,non_significant_sdc,1327,1327,0,0.0
qwen25_vl_lingoqa,Qwen2.5-VL-7B,LingoQA,0,1,significant_sdc,264,216,48,0.18181818181818177
qwen25_vl_lingoqa,Qwen2.5-VL-7B,LingoQA,1,2,non_sdc,5906,5906,0,0.0
qwen25_vl_lingoqa,Qwen2.5-VL-7B,LingoQA,1,2,non_significant_sdc,1327,1327,0,0.0
qwen25_vl_lingoqa,Qwen2.5-VL-7B,LingoQA,1,2,significant_sdc,264,214,50,0.18939393939393945
qwen25_vl_lingoqa,Qwen2.5-VL-7B,LingoQA,2,3,non_sdc,5906,5906,0,0.0
qwen25_vl_lingoqa,Qwen2.5-VL-7B,LingoQA,2,3,non_significant_sdc,1327,1327,0,0.0
qwen25_vl_lingoqa,Qwen2.5-VL-7B,LingoQA,2,3,significant_sdc,264,212,52,0.19696969696969702
qwen25_vl_lingoqa,Qwen2.5-VL-7B,LingoQA,3,4,non_sdc,5906,5906,0,0.0
qwen25_vl_lingoqa,Qwen2.5-VL-7B,LingoQA,3,4,non_significant_sdc,1327,1327,0,0.0
qwen25_vl_lingoqa,Qwen2.5-VL-7B,LingoQA,3,4,significant_sdc,264,209,55,0.20833333333333337
qwen25_vl_lingoqa,Qwen2.5-VL-7B,LingoQA,4,5,non_sdc,5906,5906,0,0.0
qwen25_vl_lingoqa,Qwen2.5-VL-7B,LingoQA,4,5,non_significant_sdc,1327,1327,0,0.0
qwen25_vl_lingoqa,Qwen2.5-VL-7B,LingoQA,4,5,significant_sdc,264,205,59,0.2234848484848485
qwen25_vl_lingoqa,Qwen2.5-VL-7B,LingoQA,5,6,non_sdc,5906,5906,0,0.0
qwen25_vl_lingoqa,Qwen2.5-VL-7B,LingoQA,5,6,non_significant_sdc,1327,1327,0,0.0
qwen25_vl_lingoqa,Qwen2.5-VL-7B,LingoQA,5,6,significant_sdc,264,202,62,0.23484848484848486
qwen25_vl_lingoqa,Qwen2.5-VL-7B,LingoQA,6,7,non_sdc,5906,5906,0,0.0
qwen25_vl_lingoqa,Qwen2.5-VL-7B,LingoQA,6,7,non_significant_sdc,1327,1327,0,0.0
qwen25_vl_lingoqa,Qwen2.5-VL-7B,LingoQA,6,7,significant_sdc,264,204,60,0.2272727272727273
qwen25_vl_lingoqa,Qwen2.5-VL-7B,LingoQA,7,8,non_sdc,5906,5906,0,0.0
qwen25_vl_lingoqa,Qwen2.5-VL-7B,LingoQA,7,8,non_significant_sdc,1327,1327,0,0.0
qwen25_vl_lingoqa,Qwen2.5-VL-7B,LingoQA,7,8,significant_sdc,264,197,67,0.2537878787878788
qwen25_vl_lingoqa,Qwen2.5-VL-7B,LingoQA,8,9,non_sdc,5906,5906,0,0.0
qwen25_vl_lingoqa,Qwen2.5-VL-7B,LingoQA,8,9,non_significant_sdc,1327,1327,0,0.0
qwen25_vl_lingoqa,Qwen2.5-VL-7B,LingoQA,8,9,significant_sdc,264,189,75,0.28409090909090906
qwen25_vl_lingoqa,Qwen2.5-VL-7B,LingoQA,9,10,non_sdc,5906,5906,0,0.0
qwen25_vl_lingoqa,Qwen2.5-VL-7B,LingoQA,9,10,non_significant_sdc,1327,1327,0,0.0
